season,team,conference,off_ppa_overall,off_ppa_passing,off_ppa_rushing,off_success_rate,off_explosiveness,def_ppa_overall,def_ppa_passing,def_ppa_rushing,def_success_rate,def_explosiveness
2020,Iowa State,Big 12,0.26,0.35,0.18,,,0.1,0.21,-0.02,,
2020,Kansas,Big 12,-0.04,-0.06,-0.01,,,0.27,0.28,0.26,,
2020,Kansas State,Big 12,0.13,0.22,0.06,,,0.22,0.28,0.16,,
2020,Kent State,Mid-American,0.46,0.63,0.34,,,0.27,0.15,0.35,,
2020,Kentucky,SEC,0.11,0.03,0.16,,,0.15,0.2,0.1,,
2020,Liberty,FBS Independents,0.31,0.37,0.28,,,0.15,0.19,0.12,,
2020,Louisiana,Sun Belt,0.24,0.28,0.23,,,0.11,0.02,0.18,,
2020,Louisiana Tech,Conference USA,0.08,0.07,0.09,,,0.22,0.25,0.2,,
2020,Louisville,ACC,0.26,0.3,0.23,,,0.14,0.22,0.08,,
2020,LSU,SEC,0.17,0.27,0.03,,,0.26,0.34,0.19,,
2020,Marshall,Conference USA,0.19,0.17,0.2,,,0.04,0.14,-0.06,,
2020,Maryland,Big Ten,0.16,0.2,0.12,,,0.22,0.19,0.23,,
2020,Massachusetts,FBS Independents,-0.11,-0.04,-0.17,,,0.34,0.31,0.36,,
2020,Memphis,American Athletic,0.19,0.35,0.01,,,0.19,0.29,0.06,,
2020,Miami,ACC,0.24,0.34,0.14,,,0.19,0.2,0.18,,
2020,Miami (OH),Mid-American,0.22,0.42,0.02,,,0.24,0.37,0.1,,
2020,Michigan,Big Ten,0.21,0.32,0.08,,,0.23,0.35,0.12,,
2020,Michigan State,Big Ten,-0.01,0.15,-0.16,,,0.12,0.24,0.01,,
2020,Middle Tennessee,Conference USA,0.13,0.25,0.02,,,0.25,0.27,0.24,,
2020,Minnesota,Big Ten,0.22,0.3,0.17,,,0.33,0.31,0.35,,
2020,Mississippi State,SEC,0.04,0.04,0.05,,,0.11,0.18,0.04,,
2020,Missouri,SEC,0.19,0.32,0.03,,,0.26,0.34,0.19,,
2020,Navy,American Athletic,0.08,0.17,0.05,,,0.22,0.33,0.16,,
2020,NC State,ACC,0.17,0.3,0.03,,,0.15,0.24,0.07,,
2020,Nebraska,Big Ten,0.17,0.14,0.19,,,0.19,0.27,0.13,,
2020,Nevada,Mountain West,0.26,0.37,0.09,,,0.13,0.18,0.08,,
2020,New Mexico,Mountain West,0.1,0.04,0.15,,,0.26,0.38,0.13,,
2020,New Mexico State,FBS Independents,-0.01,0.29,-0.16,,,0.22,0.19,0.26,,
2020,North Carolina,ACC,0.39,0.48,0.32,,,0.2,0.23,0.17,,
2020,Northern Illinois,Mid-American,0.07,0.15,0.0,,,0.25,0.43,0.11,,
2020,North Texas,Conference USA,0.29,0.37,0.22,,,0.33,0.36,0.31,,
2020,Northwestern,Big Ten,0.12,0.31,-0.03,,,0.03,-0.04,0.11,,
2020,Notre Dame,FBS Independents,0.23,0.34,0.15,,,0.1,0.17,0.04,,
2020,Ohio,Mid-American,0.21,0.16,0.23,,,0.11,0.08,0.13,,
2020,Ohio State,Big Ten,0.34,0.4,0.31,,,0.16,0.33,-0.09,,
2020,Oklahoma,Big 12,0.32,0.5,0.15,,,0.09,0.07,0.1,,
2020,Oklahoma State,Big 12,0.13,0.24,0.05,,,0.09,0.16,0.01,,
2020,Ole Miss,SEC,0.31,0.42,0.22,,,0.32,0.37,0.27,,
2020,Oregon,Pac-12,0.28,0.46,0.12,,,0.18,0.23,0.13,,
2020,Oregon State,Pac-12,0.23,0.17,0.29,,,0.28,0.32,0.24,,
2020,Penn State,Big Ten,0.18,0.29,0.09,,,0.11,0.19,0.04,,
2020,Pittsburgh,ACC,0.12,0.22,0.02,,,0.1,0.17,0.01,,
2020,Purdue,Big Ten,0.19,0.29,-0.01,,,0.17,0.41,-0.02,,
2020,Rice,Conference USA,0.12,0.39,-0.08,,,0.07,0.13,0.02,,
2020,Rutgers,Big Ten,0.06,0.11,0.02,,,0.19,0.33,0.08,,
2020,San Diego State,Mountain West,0.07,0.11,0.04,,,0.0,0.0,0.0,,
2020,San José State,Mountain West,0.2,0.35,0.0,,,0.13,0.2,0.05,,
2020,SMU,American Athletic,0.26,0.34,0.17,,,0.21,0.3,0.12,,
2020,South Alabama,Sun Belt,0.1,0.22,-0.01,,,0.21,0.36,0.08,,
2020,South Carolina,SEC,0.16,0.12,0.19,,,0.3,0.42,0.21,,
2020,Southern Miss,Conference USA,0.17,0.22,0.14,,,0.23,0.32,0.17,,
2020,South Florida,American Athletic,0.06,0.06,0.07,,,0.22,0.32,0.15,,
2020,Stanford,Pac-12,0.27,0.35,0.18,,,0.32,0.43,0.24,,
2020,Syracuse,ACC,-0.03,0.01,-0.09,,,0.19,0.26,0.13,,
2020,TCU,Big 12,0.17,0.1,0.23,,,0.09,0.19,-0.02,,
2020,Temple,American Athletic,0.08,0.2,-0.03,,,0.28,0.47,0.16,,
2020,Tennessee,SEC,0.13,0.12,0.13,,,0.19,0.34,0.06,,
2020,Texas,Big 12,0.24,0.32,0.15,,,0.12,0.23,0.01,,
2020,Texas A&M,SEC,0.29,0.38,0.21,,,0.13,0.22,0.02,,
2020,Texas State,Sun Belt,0.13,0.12,0.15,,,0.27,0.39,0.17,,
2020,Texas Tech,Big 12,0.16,0.18,0.16,,,0.2,0.3,0.11,,
2020,Toledo,Mid-American,0.26,0.47,0.05,,,0.1,0.21,-0.01,,
2020,Troy,Sun Belt,0.16,0.22,0.05,,,0.14,0.23,0.06,,
2020,Tulane,American Athletic,0.18,0.09,0.25,,,0.15,0.32,0.01,,
2020,Tulsa,American Athletic,0.11,0.21,0.03,,,0.03,0.09,-0.03,,
2020,UAB,Conference USA,0.17,0.36,0.05,,,0.07,0.04,0.1,,
2020,UCF,American Athletic,0.3,0.44,0.16,,,0.2,0.38,0.05,,
2020,UCLA,Pac-12,0.24,0.39,0.14,,,0.15,0.16,0.13,,
2020,UL Monroe,Sun Belt,0.02,0.08,-0.08,,,0.33,0.5,0.25,,
2020,UNLV,Mountain West,0.12,0.07,0.17,,,0.33,0.26,0.39,,
2020,USC,Pac-12,0.15,0.37,-0.18,,,0.17,0.23,0.11,,
2020,Utah,Pac-12,0.13,0.17,0.09,,,0.06,0.16,-0.08,,
2020,Utah State,Mountain West,-0.01,-0.07,0.05,,,0.3,0.4,0.22,,
2020,UTEP,Conference USA,0.15,0.31,0.01,,,0.19,0.37,0.04,,
2020,UTSA,Conference USA,0.17,0.17,0.17,,,0.16,0.21,0.12,,
2020,Vanderbilt,SEC,0.05,0.16,-0.04,,,0.4,0.48,0.28,,
2020,Virginia,ACC,0.18,0.19,0.19,,,0.18,0.31,0.05,,
2020,Virginia Tech,ACC,0.25,0.31,0.21,,,0.27,0.28,0.25,,
2020,Wake Forest,ACC,0.21,0.37,0.07,,,0.19,0.23,0.16,,
2020,Washington,Pac-12,0.27,0.43,0.16,,,0.17,0.18,0.16,,
2020,Washington State,Pac-12,0.15,0.12,0.19,,,0.32,0.47,0.14,,
2020,Western Kentucky,Conference USA,0.05,0.04,0.05,,,0.14,0.13,0.14,,
2020,Western Michigan,Mid-American,0.36,0.64,0.17,,,0.23,0.31,0.14,,
2020,West Virginia,Big 12,0.14,0.22,0.03,,,0.06,0.1,0.03,,
2020,Wisconsin,Big Ten,0.1,0.11,0.09,,,0.02,0.2,-0.2,,
2020,Wyoming,Mountain West,0.13,0.05,0.18,,,0.06,0.12,-0.01,,
2021,Air Force,Mountain West,0.28,0.51,0.26,,,0.18,0.21,0.17,,
2021,Akron,Mid-American,0.15,0.18,0.12,,,0.37,0.39,0.39,,
2021,Alabama,SEC,0.29,0.43,0.13,,,0.06,0.12,-0.02,,
2021,App State,Sun Belt,0.25,0.39,0.15,,,0.09,0.12,0.05,,
2021,Arizona,Pac-12,0.03,0.04,0.07,,,0.22,0.36,0.14,,
2021,Arizona State,Pac-12,0.29,0.27,0.33,,,0.11,0.14,0.11,,
2021,Arkansas,SEC,0.27,0.34,0.22,,,0.12,0.2,0.05,,
2021,Arkansas State,Sun Belt,0.1,0.22,-0.03,,,0.34,0.36,0.35,,
2021,Army,FBS Independents,0.26,0.48,0.23,,,0.21,0.26,0.17,,
2021,Auburn,SEC,0.2,0.2,0.21,,,0.1,0.22,0.01,,
2021,Ball State,Mid-American,0.11,0.12,0.13,,,0.24,0.38,0.19,,
2021,Baylor,Big 12,0.27,0.26,0.28,,,0.14,0.22,0.09,,
2021,Boise State,Mountain West,0.18,0.31,0.05,,,0.12,0.22,0.08,,
2021,Boston College,ACC,0.17,0.27,0.1,,,0.13,0.18,0.1,,
2021,Bowling Green,Mid-American,0.08,0.12,0.1,,,0.19,0.24,0.18,,
2021,Buffalo,Mid-American,0.18,0.27,0.17,,,0.28,0.33,0.27,,
2021,BYU,FBS Independents,0.34,0.38,0.3,,,0.23,0.28,0.18,,
2021,California,Pac-12,0.22,0.2,0.26,,,0.15,0.23,0.12,,
2021,Central Michigan,Mid-American,0.22,0.35,0.14,,,0.17,0.3,0.09,,
2021,Charlotte,Conference USA,0.21,0.32,0.12,,,0.36,0.49,0.26,,
2021,Cincinnati,American Athletic,0.3,0.3,0.3,,,0.05,0.04,0.05,,
2021,Clemson,ACC,0.1,0.1,0.11,,,0.03,0.11,-0.05,,
2021,Coastal Carolina,Sun Belt,0.45,0.61,0.34,,,0.15,0.21,0.15,,
2021,Colorado,Pac-12,0.09,0.13,0.07,,,0.22,0.28,0.18,,
2021,Colorado State,Mountain West,0.17,0.3,0.06,,,0.17,0.23,0.14,,
2021,Duke,ACC,0.14,0.25,0.09,,,0.38,0.56,0.26,,
2021,East Carolina,American Athletic,0.18,0.28,0.09,,,0.18,0.21,0.17,,
2021,Eastern Michigan,Mid-American,0.18,0.27,0.11,,,0.26,0.29,0.25,,
2021,Florida,SEC,0.25,0.35,0.24,,,0.15,0.18,0.14,,
2021,Florida Atlantic,Conference USA,0.18,0.25,0.15,,,0.16,0.21,0.14,,
2021,Florida International,Conference USA,0.1,0.2,0.01,,,0.37,0.46,0.31,,
2021,Florida State,ACC,0.22,0.26,0.21,,,0.14,0.3,0.03,,
2021,Fresno State,Mountain West,0.23,0.39,0.03,,,0.07,0.12,0.03,,
2021,Georgia,SEC,0.3,0.42,0.19,,,-0.05,-0.06,-0.02,,
2021,Georgia Southern,Sun Belt,0.1,0.09,0.16,,,0.27,0.38,0.18,,
2021,Georgia State,Sun Belt,0.24,0.27,0.25,,,0.16,0.29,0.07,,
2021,Georgia Tech,ACC,0.12,0.12,0.13,,,0.28,0.57,0.09,,
2021,Hawai'i,Mountain West,0.19,0.23,0.2,,,0.15,0.25,0.05,,
2021,Houston,American Athletic,0.22,0.35,0.09,,,0.04,0.07,0.03,,
2021,Illinois,Big Ten,0.11,0.09,0.14,,,0.17,0.26,0.13,,
2021,Indiana,Big Ten,0.03,0.02,0.06,,,0.2,0.35,0.11,,
2021,Iowa,Big Ten,0.03,0.07,0.0,,,0.08,0.13,0.04,,
2021,Iowa State,Big 12,0.27,0.37,0.17,,,0.14,0.24,0.05,,
2021,Kansas,Big 12,0.12,0.25,0.07,,,0.43,0.56,0.38,,
2021,Kansas State,Big 12,0.29,0.4,0.24,,,0.21,0.34,0.12,,
2021,Kent State,Mid-American,0.29,0.23,0.35,,,0.28,0.33,0.26,,
2021,Kentucky,SEC,0.24,0.28,0.22,,,0.15,0.28,0.04,,
2021,Liberty,FBS Independents,0.28,0.29,0.29,,,0.11,0.13,0.12,,
2021,Louisiana,Sun Belt,0.23,0.24,0.22,,,0.15,0.17,0.16,,
2021,Louisiana Tech,Conference USA,0.16,0.32,0.05,,,0.26,0.3,0.23,,
2021,Louisville,ACC,0.31,0.39,0.25,,,0.23,0.25,0.22,,
2021,LSU,SEC,0.17,0.29,0.03,,,0.17,0.27,0.05,,
2021,Marshall,Conference USA,0.21,0.25,0.21,,,0.12,0.13,0.13,,
2021,Maryland,Big Ten,0.23,0.33,0.1,,,0.2,0.27,0.13,,
2021,Massachusetts,FBS Independents,0.07,0.03,0.13,,,0.41,0.62,0.27,,
2021,Memphis,American Athletic,0.24,0.33,0.12,,,0.21,0.27,0.17,,
2021,Miami,ACC,0.26,0.42,0.09,,,0.18,0.24,0.11,,
2021,Miami (OH),Mid-American,0.25,0.39,0.13,,,0.16,0.23,0.13,,
2021,Michigan,Big Ten,0.26,0.31,0.23,,,0.1,0.17,0.02,,
2021,Michigan State,Big Ten,0.25,0.36,0.16,,,0.18,0.27,0.06,,
2021,Middle Tennessee,Conference USA,0.11,0.2,0.08,,,0.13,0.23,0.11,,
2021,Minnesota,Big Ten,0.18,0.31,0.12,,,0.09,0.15,0.04,,
2021,Mississippi State,SEC,0.25,0.31,0.09,,,0.18,0.28,0.08,,
2021,Missouri,SEC,0.23,0.28,0.19,,,0.3,0.44,0.23,,
2021,Navy,American Athletic,0.12,-0.04,0.16,,,0.21,0.32,0.12,,
2021,NC State,ACC,0.23,0.35,0.11,,,0.08,0.14,0.05,,
2021,Nebraska,Big Ten,0.28,0.39,0.21,,,0.16,0.27,0.06,,
2021,Nevada,Mountain West,0.27,0.38,0.09,,,0.18,0.17,0.21,,
2021,New Mexico,Mountain West,-0.07,-0.02,-0.05,,,0.18,0.27,0.12,,
2021,New Mexico State,FBS Independents,0.09,0.09,0.12,,,0.34,0.55,0.2,,
2021,North Carolina,ACC,0.28,0.25,0.34,,,0.25,0.35,0.18,,
2021,Northern Illinois,Mid-American,0.29,0.39,0.26,,,0.32,0.28,0.36,,
2021,North Texas,Conference USA,0.16,0.19,0.17,,,0.18,0.3,0.1,,
2021,Northwestern,Big Ten,0.09,0.12,0.09,,,0.27,0.24,0.3,,
2021,Notre Dame,FBS Independents,0.25,0.37,0.1,,,0.08,0.09,0.06,,
2021,Ohio,Mid-American,0.19,0.18,0.25,,,0.27,0.34,0.21,,
2021,Ohio State,Big Ten,0.43,0.59,0.24,,,0.12,0.2,0.04,,
2021,Oklahoma,Big 12,0.34,0.41,0.27,,,0.19,0.33,0.06,,
2021,Oklahoma State,Big 12,0.18,0.32,0.08,,,0.03,0.09,-0.03,,
2021,Old Dominion,Conference USA,0.14,0.21,0.12,,,0.13,0.25,0.05,,
2021,Ole Miss,SEC,0.28,0.26,0.3,,,0.17,0.08,0.26,,
2021,Oregon,Pac-12,0.26,0.26,0.28,,,0.2,0.24,0.16,,
2021,Oregon State,Pac-12,0.32,0.38,0.29,,,0.2,0.27,0.14,,
2021,Penn State,Big Ten,0.13,0.24,-0.01,,,0.05,0.03,0.06,,
2021,Pittsburgh,ACC,0.29,0.41,0.17,,,0.06,0.15,-0.05,,
2021,Purdue,Big Ten,0.23,0.39,-0.05,,,0.14,0.21,0.09,,
2021,Rice,Conference USA,0.14,0.28,0.09,,,0.31,0.4,0.29,,
2021,Rutgers,Big Ten,0.06,0.01,0.12,,,0.21,0.39,0.08,,
2021,San Diego State,Mountain West,0.13,0.17,0.12,,,0.05,0.15,-0.08,,
2021,San José State,Mountain West,0.12,0.18,0.06,,,0.14,0.25,0.04,,
2021,SMU,American Athletic,0.32,0.48,0.16,,,0.24,0.41,0.1,,
2021,South Alabama,Sun Belt,0.17,0.28,0.06,,,0.14,0.23,0.1,,
2021,South Carolina,SEC,0.15,0.27,0.07,,,0.15,0.14,0.17,,
2021,Southern Miss,Conference USA,0.02,0.2,-0.06,,,0.2,0.31,0.12,,
2021,South Florida,American Athletic,0.13,0.15,0.13,,,0.32,0.37,0.27,,
2021,Stanford,Pac-12,0.13,0.22,0.04,,,0.31,0.24,0.37,,
2021,Syracuse,ACC,0.22,0.16,0.26,,,0.15,0.25,0.09,,
2021,TCU,Big 12,0.28,0.41,0.22,,,0.32,0.42,0.29,,
2021,Temple,American Athletic,0.07,0.03,0.13,,,0.26,0.34,0.21,,
2021,Tennessee,SEC,0.29,0.37,0.23,,,0.19,0.23,0.18,,
2021,Texas,Big 12,0.31,0.37,0.27,,,0.24,0.33,0.18,,
2021,Texas A&M,SEC,0.18,0.21,0.17,,,0.01,0.01,0.01,,
2021,Texas State,Sun Belt,0.15,0.2,0.14,,,0.3,0.41,0.23,,
2021,Texas Tech,Big 12,0.29,0.38,0.21,,,0.25,0.33,0.16,,
2021,Toledo,Mid-American,0.3,0.27,0.34,,,0.08,0.16,0.06,,
2021,Troy,Sun Belt,0.13,0.23,0.02,,,0.13,0.24,0.07,,
2021,Tulane,American Athletic,0.19,0.16,0.21,,,0.21,0.3,0.13,,
2021,Tulsa,American Athletic,0.16,0.26,0.1,,,0.15,0.25,0.08,,
2021,UAB,Conference USA,0.28,0.43,0.21,,,0.11,0.26,-0.01,,
2021,UCF,American Athletic,0.23,0.22,0.24,,,0.15,0.1,0.21,,
2021,UCLA,Pac-12,0.32,0.38,0.28,,,0.2,0.2,0.19,,
2021,UConn,FBS Independents,-0.01,-0.03,0.02,,,0.24,0.35,0.16,,
2021,UL Monroe,Sun Belt,0.08,0.17,0.01,,,0.25,0.37,0.15,,
2021,UNLV,Mountain West,0.11,0.16,0.07,,,0.26,0.42,0.17,,
2021,USC,Pac-12,0.21,0.28,0.14,,,0.28,0.43,0.16,,
2021,Utah,Pac-12,0.29,0.3,0.29,,,0.15,0.19,0.12,,
2021,Utah State,Mountain West,0.22,0.44,0.02,,,0.16,0.28,0.08,,
2021,UTEP,Conference USA,0.21,0.5,0.03,,,0.11,0.22,0.03,,
2021,UTSA,Conference USA,0.26,0.41,0.15,,,0.18,0.33,0.08,,
2021,Vanderbilt,SEC,0.05,0.11,0.03,,,0.32,0.42,0.23,,
2021,Virginia,ACC,0.32,0.37,0.26,,,0.29,0.4,0.24,,
2021,Virginia Tech,ACC,0.18,0.27,0.12,,,0.21,0.24,0.21,,
2021,Wake Forest,ACC,0.27,0.42,0.13,,,0.19,0.18,0.22,,
2021,Washington,Pac-12,0.12,0.19,0.08,,,0.17,0.12,0.24,,
2021,Washington State,Pac-12,0.21,0.25,0.18,,,0.18,0.22,0.18,,
2021,Western Kentucky,Conference USA,0.36,0.48,0.14,,,0.17,0.2,0.15,,
2021,Western Michigan,Mid-American,0.3,0.39,0.26,,,0.22,0.23,0.21,,
2021,West Virginia,Big 12,0.19,0.26,0.14,,,0.16,0.25,0.1,,
2021,Wisconsin,Big Ten,0.14,0.17,0.14,,,-0.01,0.04,-0.06,,
2021,Wyoming,Mountain West,0.21,0.21,0.22,,,0.15,0.17,0.15,,
2022,Air Force,Mountain West,0.29,0.46,0.28,,,0.08,0.23,0.04,,
2022,Akron,Mid-American,0.07,0.19,-0.05,,,0.24,0.38,0.16,,
2022,Alabama,SEC,0.3,0.39,0.2,,,0.02,0.01,0.06,,
2022,App State,Sun Belt,0.26,0.31,0.24,,,0.18,0.31,0.09,,
2022,Arizona,Pac-12,0.25,0.37,0.17,,,0.32,0.39,0.27,,
2022,Arizona State,Pac-12,0.23,0.31,0.17,,,0.24,0.23,0.31,,
2022,Arkansas,SEC,0.22,0.42,0.11,,,0.24,0.31,0.2,,
2022,Arkansas State,Sun Belt,0.09,0.19,-0.01,,,0.21,0.35,0.13,,
2022,Army,FBS Independents,0.24,0.3,0.24,,,0.16,0.27,0.2,,
2022,Auburn,SEC,0.16,0.15,0.18,,,0.17,0.15,0.18,,
2022,Ball State,Mid-American,0.1,0.18,0.09,,,0.15,0.23,0.14,,
2022,Baylor,Big 12,0.21,0.32,0.19,,,0.18,0.27,0.11,,
2022,Boise State,Mountain West,0.23,0.35,0.17,,,0.07,0.13,0.1,,
2022,Boston College,ACC,0.09,0.25,-0.04,,,0.17,0.3,0.1,,
2022,Bowling Green,Mid-American,0.1,0.25,-0.05,,,0.17,0.28,0.15,,
2022,Buffalo,Mid-American,0.14,0.28,0.04,,,0.14,0.26,0.05,,
2022,BYU,FBS Independents,0.28,0.41,0.19,,,0.25,0.32,0.19,,
2022,California,Pac-12,0.19,0.26,0.12,,,0.19,0.33,0.1,,
2022,Central Michigan,Mid-American,0.12,0.19,0.09,,,0.15,0.26,0.08,,
2022,Charlotte,Conference USA,0.11,0.23,0.06,,,0.35,0.57,0.24,,
2022,Cincinnati,American Athletic,0.19,0.29,0.11,,,0.06,0.13,0.04,,
2022,Clemson,ACC,0.18,0.2,0.16,,,0.05,0.08,0.02,,
2022,Coastal Carolina,Sun Belt,0.23,0.42,0.11,,,0.25,0.44,0.07,,
2022,Colorado,Pac-12,0.04,0.08,0.07,,,0.4,0.51,0.33,,
2022,Colorado State,Mountain West,0.01,0.07,-0.02,,,0.17,0.2,0.17,,
2022,Duke,ACC,0.25,0.29,0.25,,,0.14,0.28,0.01,,
2022,East Carolina,American Athletic,0.27,0.38,0.16,,,0.21,0.39,0.07,,
2022,Eastern Michigan,Mid-American,0.24,0.33,0.2,,,0.2,0.29,0.15,,
2022,Florida,SEC,0.25,0.31,0.23,,,0.21,0.26,0.19,,
2022,Florida Atlantic,Conference USA,0.2,0.32,0.13,,,0.19,0.31,0.14,,
2022,Florida International,Conference USA,0.04,0.13,0.03,,,0.25,0.36,0.19,,
2022,Florida State,ACC,0.33,0.39,0.29,,,0.13,0.14,0.14,,
2022,Fresno State,Mountain West,0.24,0.36,0.16,,,0.12,0.16,0.12,,
2022,Georgia,SEC,0.36,0.51,0.22,,,0.02,0.07,-0.05,,
2022,Georgia Southern,Sun Belt,0.25,0.34,0.19,,,0.25,0.3,0.26,,
2022,Georgia State,Sun Belt,0.16,0.33,0.11,,,0.14,0.27,0.1,,
2022,Georgia Tech,ACC,0.03,0.02,0.1,,,0.14,0.19,0.13,,
2022,Hawai'i,Mountain West,0.08,0.05,0.13,,,0.3,0.41,0.25,,
2022,Houston,American Athletic,0.31,0.48,0.15,,,0.2,0.3,0.11,,
2022,Illinois,Big Ten,0.14,0.26,0.06,,,-0.04,0.07,-0.06,,
2022,Indiana,Big Ten,0.07,0.06,0.11,,,0.19,0.43,0.02,,
2022,Iowa,Big Ten,-0.02,0.05,-0.08,,,-0.04,0.03,-0.04,,
2022,Iowa State,Big 12,0.09,0.23,-0.05,,,0.09,0.25,-0.02,,
2022,James Madison,Sun Belt,0.18,0.45,0.05,,,0.01,0.16,-0.09,,
2022,Kansas,Big 12,0.34,0.53,0.19,,,0.27,0.34,0.26,,
2022,Kansas State,Big 12,0.23,0.27,0.2,,,0.1,0.19,0.09,,
2022,Kent State,Mid-American,0.21,0.24,0.21,,,0.22,0.41,0.09,,
2022,Kentucky,SEC,0.1,0.22,0.03,,,0.07,0.13,0.05,,
2022,Liberty,FBS Independents,0.13,0.23,0.11,,,0.07,0.17,0.04,,
2022,Louisiana,Sun Belt,0.11,0.19,0.05,,,0.15,0.18,0.16,,
2022,Louisiana Tech,Conference USA,0.12,0.25,0.06,,,0.24,0.26,0.27,,
2022,Louisville,ACC,0.16,0.22,0.15,,,0.03,0.13,0.0,,
2022,LSU,SEC,0.28,0.29,0.27,,,0.11,0.13,0.1,,
2022,Marshall,Sun Belt,0.08,0.13,0.09,,,-0.04,0.02,-0.07,,
2022,Maryland,Big Ten,0.21,0.3,0.12,,,0.08,0.14,0.06,,
2022,Massachusetts,FBS Independents,-0.02,-0.04,0.02,,,0.18,0.25,0.18,,
2022,Memphis,American Athletic,0.2,0.3,0.12,,,0.13,0.25,0.04,,
2022,Miami,ACC,0.14,0.19,0.11,,,0.15,0.22,0.1,,
2022,Miami (OH),Mid-American,0.09,0.17,0.06,,,0.14,0.3,0.06,,
2022,Michigan,Big Ten,0.28,0.32,0.27,,,0.03,0.05,0.03,,
2022,Michigan State,Big Ten,0.14,0.25,0.05,,,0.21,0.43,0.04,,
2022,Middle Tennessee,Conference USA,0.11,0.2,0.04,,,0.08,0.25,0.0,,
2022,Minnesota,Big Ten,0.24,0.39,0.21,,,0.11,0.19,0.06,,
2022,Mississippi State,SEC,0.17,0.21,0.09,,,0.07,0.11,0.08,,
2022,Missouri,SEC,0.14,0.27,0.06,,,0.14,0.22,0.08,,
2022,Navy,American Athletic,0.11,0.25,0.1,,,0.19,0.46,-0.06,,
2022,NC State,ACC,0.12,0.24,0.01,,,0.09,0.17,0.03,,
2022,Nebraska,Big Ten,0.19,0.34,0.08,,,0.19,0.26,0.17,,
2022,Nevada,Mountain West,0.04,0.09,0.02,,,0.23,0.32,0.17,,
2022,New Mexico,Mountain West,-0.06,-0.14,0.04,,,0.14,0.22,0.14,,
2022,New Mexico State,FBS Independents,0.18,0.28,0.13,,,0.13,0.22,0.09,,
2022,North Carolina,ACC,0.29,0.39,0.17,,,0.26,0.38,0.15,,
2022,Northern Illinois,Mid-American,0.18,0.29,0.16,,,0.26,0.49,0.1,,
2022,North Texas,Conference USA,0.23,0.36,0.17,,,0.25,0.28,0.25,,
2022,Northwestern,Big Ten,-0.01,0.17,-0.09,,,0.16,0.25,0.12,,
2022,Notre Dame,FBS Independents,0.17,0.28,0.11,,,0.13,0.15,0.14,,
2022,Ohio,Mid-American,0.23,0.38,0.1,,,0.23,0.37,0.11,,
2022,Ohio State,Big Ten,0.38,0.53,0.23,,,0.07,0.16,0.01,,
2022,Oklahoma,Big 12,0.21,0.28,0.17,,,0.2,0.28,0.17,,
2022,Oklahoma State,Big 12,0.12,0.19,0.06,,,0.17,0.24,0.12,,
2022,Old Dominion,Sun Belt,0.1,0.21,-0.03,,,0.21,0.39,0.11,,
2022,Ole Miss,SEC,0.25,0.31,0.23,,,0.14,0.21,0.08,,
2022,Oregon,Pac-12,0.33,0.36,0.32,,,0.19,0.27,0.1,,
2022,Oregon State,Pac-12,0.24,0.37,0.2,,,0.09,0.09,0.14,,
2022,Penn State,Big Ten,0.22,0.31,0.13,,,0.03,0.04,0.03,,
2022,Pittsburgh,ACC,0.17,0.25,0.16,,,0.06,0.07,0.08,,
2022,Purdue,Big Ten,0.13,0.23,0.05,,,0.11,0.24,0.08,,
2022,Rice,Conference USA,0.12,0.23,0.09,,,0.26,0.37,0.19,,
2022,Rutgers,Big Ten,0.02,0.08,-0.03,,,0.13,0.15,0.14,,
